	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93
0	2719967	СПОСОБ НАСТРОЙКИ И СИСТЕМА ОБРАБОТКИ ДЕТАЛИ, СОДЕРЖАЩАЯ МОДУЛЬ НАСТРОЙКИ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2719967&TypeFile=html	ВОТЧ АУТ СА (CH)	B23Q17/22	PC4A Государственная регистрация договора об отчуждении исключительного права	28.10.2022 РД0412614	ВОТЧ АУТ СА (CH)	ЛДИ ФИНАНС (FR)	Договор отчуждения	нет данных об условиях	"197101, г. Санкт-Петербург, а/я 128, ""АРС-ПАТЕНТ""."																																																																																		
1	2717625	ОБРАБАТЫВАЮЩИЙ МОДУЛЬ, УЗЕЛ КОМПЛЕКТУЮЩИХ ДЛЯ ОБРАБАТЫВАЮЩЕГО МОДУЛЯ И СПОСОБ ЗАПУСКА ОБРАБАТЫВАЮЩЕГО МОДУЛЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2717625&TypeFile=html	ВОТЧ АУТ СА (CH)	B23Q3/18	PC4A Государственная регистрация договора об отчуждении исключительного права	28.10.2022 РД0412614	ВОТЧ АУТ СА (CH)	ЛДИ ФИНАНС (FR)	Договор отчуждения	нет данных об условиях	"197101, г. Санкт-Петербург, а/я 128, ""АРС-ПАТЕНТ""."																																																																																		
2	2718947	ТОКАРНЫЙ СТАНОК И НАПРАВЛЯЮЩАЯ ВТУЛКА	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2718947&TypeFile=html	ВОТЧ АУТ СА (CH)	B23B7/06	PC4A Государственная регистрация договора об отчуждении исключительного права	28.10.2022 РД0412614	ВОТЧ АУТ СА (CH)	ЛДИ ФИНАНС (FR)	Договор отчуждения	нет данных об условиях	"197101, г. Санкт-Петербург, а/я 128, ""АРС-ПАТЕНТ""."																																																																																		
3	2709385	ОБРАБАТЫВАЮЩИЙ СТАНОК С ПОДВИЖНОЙ КАРЕТКОЙ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2709385&TypeFile=html	ВОТЧ АУТ СА (CH)	B23Q1/00	PC4A Государственная регистрация договора об отчуждении исключительного права	28.10.2022 РД0412614	ВОТЧ АУТ СА (CH)	ЛДИ ФИНАНС (FR)	Договор отчуждения	нет данных об условиях	"197101, г. Санкт-Петербург, а/я 128, ""АРС-ПАТЕНТ""."																																																																																		
4	2672071	САМОУСТАНАВЛИВАЮЩИЙСЯ РЕЗЕЦ С УСТРОЙСТВОМ КРЕПЛЕНИЯ НА ИСПОЛНИТЕЛЬНОМ ОРГАНЕ МАШИНЫ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2672071&TypeFile=html	"федеральное государственное бюджетное образовательное учреждение высшего образования ""Пермский национальный исследовательский политехнический университет"" (RU)"	E21C35/18	QB4A Государственная регистрация предоставления права использования по договору	19.10.2022 РД0411403	"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский национальный исследовательский политехнический университет"" (RU)"	"Общество с ограниченной ответственностью ""Прогрессия"" (RU)"	лицензионный	неисключительная лицензия на срок до 20.02.2023 на территории РФ.	нет данных об адресе																																																																																		
5	2709453	Квазирезонансный однотактный прямоходовой преобразователь напряжения с переключением при нуле тока	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2709453&TypeFile=html	"Общество с ограниченной ответственностью ""Эфре Поиск"" (RU)"	H02M3/155	QB4A Государственная регистрация предоставления права использования по договору	27.04.2022 РД0395543	"Общество с ограниченной ответственностью ""Эфре Поиск"" (RU)"	"Общество с ограниченной ответственностью ""ТДК"" (RU)"	лицензионный	неисключительная лицензия сроком на три года на территории РФ.	нет данных об адресе																																																																																		
6	2673869	СТЕНД ДЛЯ ИЗМЕРЕНИЯ ЭНЕРГЕТИЧЕСКИХ ПОКАЗАТЕЛЕЙ ЭНЕРГОУСТАНОВОК	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2673869&TypeFile=html	"федеральное государственное бюджетное образовательное учреждение высшего образования ""Пермский национальный исследовательский политехнический университет"" (RU)"	G01L3/04	QB4A Государственная регистрация предоставления права использования по договору	16.12.2020 РД0349383	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пермский национальный исследовательский политехнический университет"" (RU)"	"Публичное акционерное общество ""Протон - Пермские моторы"" (RU)"	лицензионный	неисключительная лицензия на срок до 31.12.2024 на территории РФ.	нет данных об адресе																																																																																		
7	2678504	Устройство получения электронно-микроскопического изображения и локального элементного анализа радиоактивного образца методом электронной микроскопии в радиационно-защитной камере	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2678504&TypeFile=html	"федеральное государственное бюджетное образовательное учреждение высшего образования ""Ульяновский государственный университет"" (RU)"	G01T7/00	PC4A Государственная регистрация договора об отчуждении исключительного права	25.10.2022 РД0411950	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ульяновский государственный университет"" (RU)"	"Общество с ограниченной ответственностью ""КАРЛ ЦЕЙСС"" (RU)"	Договор отчуждения	нет данных об условиях	109028, Москва, Серебряническая наб., д. 29. эт. 4, пом. 1, ком. 21																																																																																		
8	2682390	ИСПОЛЬЗОВАНИЕ ОБЪЕКТА УПРАВЛЕНИЯ OMA ДЛЯ ПОДДЕРЖКИ ЗАВИСЯЩЕГО ОТ ПРИЛОЖЕНИЙ УПРАВЛЕНИЯ ЗАТОРАМИ В МОБИЛЬНЫХ СЕТЯХ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2682390&TypeFile=html	ИНТЕЛ АйПи КОРПОРЕЙШН (US)	H04W28/02	PC4A Государственная регистрация договора об отчуждении исключительного права	19.07.2021 РД0369542	ИНТЕЛ АйПи КОРПОРЕЙШН (US)	Интел Корпорейшн (US)	Договор отчуждения	нет данных об условиях	"101000, Москва, ул. Мясницкая, 13, стр. 5, ООО ""Союзпатент"""																																																																																		
9	2682464	ГЕРМЕТИЧНЫЙ И ТЕПЛОИЗОЛИРОВАННЫЙ РЕЗЕРВУАР, СНАБЖЕННЫЙ УКРЕПЛЯЮЩЕЙ ЧАСТЬЮ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2682464&TypeFile=html	ГАЗТРАНСПОРТ ЭТ ТЕХНИГАЗ (FR)	F17C13/00	QB4A Государственная регистрация предоставления права использования по договору	04.09.2020 РД0339998	ГАЗТРАНСПОРТ ЭТ ТЕХНИГАЗ (FR)	"Общество с ограниченной ответственностью ""Судостроительный комплекс ""Звезда"" (RU)"	лицензионный	неисключительная лицензия на срок до 10.06.2026 на территории РФ.	нет данных об адресе																																																																																		
