	0	1	2	3	4	5	6	7	8	9	10	11
0	2723776	ПОЯС ДЛЯ КРЕПЛЕНИЯ КАБЕЛЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2723776&TypeFile=html	Падерин Александр Алексеевич (RU)	E21B17/00	QB4A Государственная регистрация предоставления права использования по договору	17.09.2020 РД0340984	Падерин Александр Алексеевич (RU)	"Общество с ограниченной ответственностью ""Торговый дом Урал ИНВЕСТ"" (RU)"	лицензионный	неисключительная лицензия на срок до 26.02.2040 на территории РФ.	нет данных об адресе
1	2730611	УСТАНОВКА ДЛЯ КУЛЬТИВИРОВАНИЯ ТРЕПАНГОВ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2730611&TypeFile=html	"Общество с ограниченной ответственностью ""СИБОРН ДВ"" (RU)"	A01K61/00	QB4A Государственная регистрация предоставления права использования по договору	28.04.2022 РД0395759	"Общество с ограниченной ответственностью ""Сиборн ДВ"" (RU)"	"Общество с ограниченной ответственностью Группа Компаний ""Дальморепродукт"" (RU)"	лицензионный	"неисключительная лицензия на срок до 27.06.2031на территории в границах Рыбоводного участка № 21 Хс (м) согласно договору пользования рыбоводным участком № 098-3/11-А от 11.12.2015, заключенного между Приморским территориальным управлением Федерального агентства по рыболовству и ООО ГК ""Дальморепродукт""."	нет данных об адресе
2	2730611	УСТАНОВКА ДЛЯ КУЛЬТИВИРОВАНИЯ ТРЕПАНГОВ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2730611&TypeFile=html	"Общество с ограниченной ответственностью ""СИБОРН ДВ"" (RU)"	A01K61/00	QB4A Государственная регистрация предоставления права использования по договору	28.04.2022 РД0395761	"Общество с ограниченной ответственностью ""Сиборн ДВ"" (RU)"	"Общество с ограниченной ответственностью ""Зарубинская база флота"" (RU)"	лицензионный	"неисключительная лицензия на срок до 24.06.2031на территории в границах Рыбоводного участка № 18 Хс (м) согласно договору пользования рыбоводным участком № 077-3/11-А от 11.12.2015, заключенного между Приморским территориальным управлением Федерального агентства по рыболовству и ООО ""Зарубинская база флота""."	нет данных об адресе
3	2730611	УСТАНОВКА ДЛЯ КУЛЬТИВИРОВАНИЯ ТРЕПАНГОВ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2730611&TypeFile=html	"Общество с ограниченной ответственностью ""СИБОРН ДВ"" (RU)"	A01K61/00	QB4A Государственная регистрация предоставления права использования по договору	11.04.2023 РД0428350	"Общество с ограниченной ответственностью ""Сиборн ДВ"" (RU)"	"Общество с ограниченной ответственностью ""ЖИЛСОЦСЕРВИС"" (RU)"	лицензионный	неисключительная лицензия на срок до 31.12.2032 на территории: в границах рыбоводного участка РВУ № 1-В(м) (координаты в системе WGS-84: А. 42°52,986'с.ш. - 131°38,460' в.д.; В. 42°54,330' с.ш. - 131°39,720' в.д.; С. 42°53,646' с.ш. - 131°40,860' в.д.; D. 42°53,490' с.ш. - 131°40,740' в.д.; Ε. 42°53,922' с.ш. - 131°39,960' в.д.; F. 42°52,986' с.ш. - 131°39.120' в.д.) Приморского края Российской Федерации.	нет данных об адресе
4	2730611	УСТАНОВКА ДЛЯ КУЛЬТИВИРОВАНИЯ ТРЕПАНГОВ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2730611&TypeFile=html	"Общество с ограниченной ответственностью ""СИБОРН ДВ"" (RU)"	A01K61/00	QB4A Государственная регистрация предоставления права использования по договору	07.06.2023 РД0433939	"Общество с ограниченной ответственностью ""Сиборн ДВ"" (RU)"	"Общество с ограниченной ответственностью ""Горизонт"" (RU)"	лицензионный	неисключительная лицензия на срок до 31.12.2032 на территории: в границах рыбоводного участка ПКЯМ-282 (координаты углов участка: А. 43,250000 с.ш. 131,944167 в.д.; В. 43,237222 с.ш. 131, 945278 в.д.; С. 43, 237222 с.щ. 131, 955833 в.д., D. 43, 246944 с.ш. 131, 955556 в.д.) Приморского края Российской Федерации.	нет данных об адресе
5	2735809	Автоматизированное контрольно-габаритное устройство для контроля подвижных железнодорожных составов	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2735809&TypeFile=html	Калабеков Олег Андреевич (RU)	B61K9/00	QB4A Государственная регистрация предоставления права использования по договору	15.03.2021 РД0357582	Калабеков Олег Андреевич (RU)	"Производственный кооператив ""Научно-Производственный Комплекс ""АВТОМАТИЗАЦИЯ"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе
6	2724577	ПОЯС ДЛЯ КРЕПЛЕНИЯ КАБЕЛЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2724577&TypeFile=html	Падерин Александр Алексеевич (RU)	E21B17/00	QB4A Государственная регистрация предоставления права использования по договору	15.09.2020 РД0340832	Падерин Александр Алексеевич (RU)	"Общество с ограниченной ответственностью ""Торговый дом Урал ИНВЕСТ"" (RU)"	лицензионный	неисключительная лицензия на срок до 27.02.2040 на территории РФ.	нет данных об адресе
7	2735018	Способ получения комплексного маслорастворимого ингибитора коррозии черных металлов предпочтительно для ружейных масел	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2735018&TypeFile=html	Иванов Михаил Григорьевич (RU),Сычев Вячеслав Михайлович (RU)	C23F11/167	QB4A Государственная регистрация предоставления права использования по договору	05.10.2021 РД0376652	Иванов Михаил Григорьевич (RU), Сычев Вячеслав Михайлович (RU)	"Общество с ограниченной ответственностью ""Треал-М"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе
8	2728080	СПОСОБ ИЗГОТОВЛЕНИЯ АРМИРОВАННОГО БЕТОННОГО ИЗДЕЛИЯ НА 3D-ПРИНТЕРЕ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2728080&TypeFile=html	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный архитектурно-строительный университет"" (КазГАСУ) (RU)"	E04C2/06	QB4A Государственная регистрация предоставления права использования по договору	21.01.2021 РД0352338	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный архитектурно-строительный университет"" (RU)"	"Общество с ограниченной ответственностью ""СПЕЦДОРПРОЕКТ"" (RU)"	лицензионный	неисключительная лицензия сроком на 3 года на территории РФ.	нет данных об адресе
9	2728081	СПОСОБ ВОЗВЕДЕНИЯ АРМИРОВАННОЙ БЕТОННОЙ СТЕНЫ МЕТОДОМ 3D-ПЕЧАТИ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2728081&TypeFile=html	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный архитектурно-строительный университет"" (КазГАСУ) (RU)"	E04B2/84	QB4A Государственная регистрация предоставления права использования по договору	21.01.2021 РД0352338	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный архитектурно-строительный университет"" (RU)"	"Общество с ограниченной ответственностью ""СПЕЦДОРПРОЕКТ"" (RU)"	лицензионный	неисключительная лицензия сроком на 3 года на территории РФ.	нет данных об адресе
10	2728084	УЗЕЛ СОЕДИНЕНИЯ ЭЛЕМЕНТОВ СТРОИТЕЛЬНЫХ ЛЕСОВ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2728084&TypeFile=html	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный архитектурно-строительный университет"" (КазГАСУ) (RU)"	E04G5/04	QB4A Государственная регистрация предоставления права использования по договору	09.02.2021 РД0354349	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный архитектурно-строительный университет"" (RU)"	"Общество с ограниченной ответственностью ""Глобал Климат"" (RU)"	лицензионный	неисключительная лицензия сроком на 3 года на территории РФ.	нет данных об адресе
11	2727649	СПОСОБ ЛЕЧЕНИЯ ПРОМЕЖНОСТНОЙ ГРЫЖИ У СОБАК	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2727649&TypeFile=html	Чернов Александр Владимирович (RU)	A61D99/00	QZ4A Внесение изменений в зарегистрированный договор	31.01.2020 РД0324013	Чернов Александр Владимирович (RU)	"Общество с ограниченной ответственностью ""ЭНДОВЕТ"" (RU)"	лицензионный   Дата внесения записи в Государственный реестр: 16.12.2020         Дата публикации и номер бюллетеня: 16.12.2020 Бюл. №35	no_data	no_data
12	2727649	СПОСОБ ЛЕЧЕНИЯ ПРОМЕЖНОСТНОЙ ГРЫЖИ У СОБАК	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2727649&TypeFile=html	Чернов Александр Владимирович (RU)	A61D99/00	QZ4A Внесение изменений в зарегистрированный договор	31.01.2020 РД0324013	Чернов Александр Владимирович (RU)	"Общество с ограниченной ответственностью ""ЭНДОВЕТ"" (RU)"	лицензионный   Дата внесения записи в Государственный реестр: 26.07.2022         Дата публикации и номер бюллетеня: 26.07.2022 Бюл. №21	no_data	no_data
