	0	1	2	3	4	5	6	7	8	9	10	11
0	214569	Емкость пластиковая	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=214569&TypeFile=html	Доронькин Сергей Алексеевич (RU)	B65D1/00	QB9K Государственная регистрация предоставления права использования по договору	22.02.2023 РД0424059	Доронькин Сергей Алексеевич (RU)	"Научно-производственный кооператив ""Биотех"" (RU)"	лицензионный	неисключительная лицензия на срок действия исключительного права на территории РФ.	нет данных об адресе
1	211226	Каркасная опора для младенца	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=211226&TypeFile=html	Бударин Алексей Николаевич (RU)	A47D11/00	PC9K Государственная регистрация отчуждения исключительного права по договору	05.09.2022 РД0407089	Бударин Алексей Николаевич (RU)	Коношев Евгений Андреевич (RU)	Договор отчуждения	нет данных об условиях	125565, Москва, а/я 6, А.С. Турковскому
2	210640	Устройство для дистанционного магнитного сканирования провода или грозотроса ВЛ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=210640&TypeFile=html	"Общество с ограниченной ответственностью ""Лаборатория будущего"" (RU)"	G01N27/82	QB9K Государственная регистрация залога (последующего залога) исключительного права по договору	08.06.2023 РД0434115	"Общество с ограниченной ответственностью ""Лаборатория будущего"" (RU)"	Фонд поддержки проекта Национальной технологической инициативы (RU)	о залоге исключительного права		no_data
3	211602	УСТРОЙСТВО ДЛЯ ХИРУРГИЧЕСКОГО ЛЕЧЕНИЯ СТЕНОЗОВ ТРАХЕИ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=211602&TypeFile=html	"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский Томский государственный университет"" (RU)"	A61B18/02	QB9K Государственная регистрация предоставления права использования по договору	26.09.2023 РД0444633	"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский Томский государственный университет"" (RU)"	"Общество с ограниченной ответственностью ""АЛОИЗ"" (RU)"	лицензионный	неисключительная лицензия на срок до 31.12.2028 на территории РФ.	нет данных об адресе
4	212558	ГРАВИТАЦИОННЫЙ РОЛИКОВЫЙ СТЕЛЛАЖ ДЛЯ ШТУЧНЫХ ГРУЗОВ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=212558&TypeFile=html	"Закрытое акционерное общество ""Инженерно-технический центр ""КРОС"" (RU)"	B65G1/08	PC9K Государственная регистрация отчуждения исключительного права по договору	19.12.2022 РД0417364	"Закрытое акционерное общество ""Инженерно-технический центр ""КРОС"" (RU)"	"Общество с ограниченной ответственностью ""ИНТЕЛЛЕКТУАЛЬНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ПОДЪЕМНЫХ СООРУЖЕНИЙ"" (RU)"	Договор отчуждения	нет данных об условиях	"119334, Москва, 5-й Донской проезд, 15, БЦ ""ДОНСКОЙ"", офис 220, Патентный отдел ООО АРК ""Информ Экспресс"" Фокиной Н.Л."
5	211941	"ПРЕПЯТСТВИЕ ДЛЯ МОБИЛЬНОГО РОБОТА ""ПРОВАЛЫ"""	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=211941&TypeFile=html	"Федеральное государственное автономное научное учреждение ""Центральный научно-исследовательский и опытно-конструкторский институт робототехники и технической кибернетики"" (ЦНИИ РТК) (RU)"	A63B71/02	QB9K Государственная регистрация предоставления права использования по договору	27.06.2023 РД0435602	"Федеральное государственное автономное научное учреждение ""Центральный научно-исследовательский и опытно-конструкторский институт робототехники и технической кибернетики"" (RU)"	"Общество с ограниченной ответственностью ""Открытая Робототехника"" (RU)"	лицензионный	неисключительная лицензия на срок до 20.04.2028 на территории РФ.	нет данных об адресе
6	212075	"ПРЕПЯТСТВИЕ ДЛЯ МОБИЛЬНОГО РОБОТА ""ЗВЕЗДОЧКИ"""	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=212075&TypeFile=html	"Федеральное государственное автономное научное учреждение ""Центральный научно-исследовательский и опытно-конструкторский институт робототехники и технической кибернетики"" (ЦНИИ РТК) (RU)"	A63B71/02	QB9K Государственная регистрация предоставления права использования по договору	27.06.2023 РД0435602	"Федеральное государственное автономное научное учреждение ""Центральный научно-исследовательский и опытно-конструкторский институт робототехники и технической кибернетики"" (RU)"	"Общество с ограниченной ответственностью ""Открытая Робототехника"" (RU)"	лицензионный	неисключительная лицензия на срок до 20.04.2028 на территории РФ.	нет данных об адресе
7	212365	ПРИЕМОПЕРЕДАЮЩИЙ АППАРАТНЫЙ МОДУЛЬ БАЗОВОЙ СТАНЦИИ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=212365&TypeFile=html	"Автономная некоммерческая образовательная организация высшего образования ""Сколковский институт науки и технологий"" (RU)"	H04B7/005	QB9K Государственная регистрация предоставления права использования по договору	25.05.2023 РД0432564	"Автономная некоммерческая образовательная организация высшего образования ""Сколковский институт науки и технологий"" (RU)"	"Общество с ограниченной ответственностью ""Радио Гигабит"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе
8	210059	Устройство дозирования жидкости с многоразовым насосом	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=210059&TypeFile=html	Непокульчицкий Евгений Александрович (RU)	A47K5/12	QB9K Государственная регистрация предоставления права использования по договору	18.05.2023 РД0431680	Непокульчицкий Евгений Александрович (RU)	"Общество с ограниченной ответственностью ""КЕМАН"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе
9	211942	"ПРЕПЯТСТВИЕ ДЛЯ МОБИЛЬНОГО РОБОТА ""ГОРКА С ТРУБАМИ"""	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=211942&TypeFile=html	"Федеральное государственное автономное научное учреждение ""Центральный научно-исследовательский и опытно-конструкторский институт робототехники и технической кибернетики"" (ЦНИИ РТК) (RU)"	A63B71/02	QB9K Государственная регистрация предоставления права использования по договору	27.06.2023 РД0435602	"Федеральное государственное автономное научное учреждение ""Центральный научно-исследовательский и опытно-конструкторский институт робототехники и технической кибернетики"" (RU)"	"Общество с ограниченной ответственностью ""Открытая Робототехника"" (RU)"	лицензионный	неисключительная лицензия на срок до 20.04.2028 на территории РФ.	нет данных об адресе
